Name,Sex,Age,Height,Weight,NOC,Games,Sport,Event,Year,Season,City,Medal
Jamile Sara Samuel,F,24.0,168.0,59.0,NED,2016 Summer,Athletics,Athletics Women's 200 metres,2016,Summer,Rio de Janeiro,No Medal
"Daniele ""Dani"" Samuels (-Stevens)",F,28.0,182.0,82.0,AUS,2016 Summer,Athletics,Athletics Women's Discus Throw,2016,Summer,Rio de Janeiro,No Medal
"Joshua ""Josh"" Samuels",M,25.0,194.0,95.0,USA,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Nicky Samuels,F,33.0,170.0,56.0,NZL,2016 Summer,Triathlon,Triathlon Women's Olympic Distance,2016,Summer,Rio de Janeiro,No Medal
Sonia Samuels,F,37.0,162.0,47.0,GBR,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
Jessica Eva Katarina Samuelsson,F,24.0,166.0,59.0,SWE,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,Silver
Anastasiya Valeryevna Samusevich-Prokopenko,F,30.0,163.0,57.0,BLR,2016 Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Ana Cristina Sanabria Snchez,F,26.0,156.0,51.0,COL,2016 Summer,Cycling,"Cycling Women's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Mohammad Sanad,M,25.0,191.0,92.0,EGY,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Nurislam Sanayev,M,25.0,163.0,57.0,KAZ,2016 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
Daniel Henri Sancery,M,22.0,182.0,90.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Felipe Henri Sancery,M,22.0,182.0,90.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
David Snchez Lpez,M,22.0,166.0,69.0,ESP,2016 Summer,Weightlifting,Weightlifting Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Etel Snchez,F,26.0,172.0,58.0,ARG,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,2016,Summer,Rio de Janeiro,No Medal
Germn Sal Snchez Snchez,M,24.0,165.0,50.0,MEX,2016 Summer,Diving,Diving Men's Platform,2016,Summer,Rio de Janeiro,Silver
Marc Snchez Torrens,M,23.0,188.0,75.0,ESP,2016 Summer,Swimming,"Swimming Men's 1,500 metres Freestyle",2016,Summer,Rio de Janeiro,No Medal
Mara Guadalupe Snchez Magaa,F,20.0,165.0,48.0,MEX,2016 Summer,Athletics,Athletics Women's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Mariely Snchez Hichez,F,27.0,168.0,52.0,DOM,2016 Summer,Athletics,Athletics Women's 200 metres,2016,Summer,Rio de Janeiro,No Medal
Natalia Snchez Echeverri,F,33.0,166.0,63.0,COL,2016 Summer,Archery,Archery Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Roco Mara Snchez Moccia,F,28.0,157.0,54.0,ARG,2016 Summer,Hockey,Hockey Women's Hockey,2016,Summer,Rio de Janeiro,No Medal
Sofa Snchez,F,26.0,171.0,57.0,ARG,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,2016,Summer,Rio de Janeiro,No Medal
Alexei Sancov,M,16.0,188.0,85.0,MDA,2016 Summer,Swimming,Swimming Men's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Louise Nelum Sandamali Sand,F,23.0,164.0,62.0,SWE,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,No Medal
Linda Maria Sandblom,F,26.0,176.0,62.0,FIN,2016 Summer,Athletics,Athletics Women's High Jump,2016,Summer,Rio de Janeiro,No Medal
Taylor Sander,M,24.0,193.0,86.0,USA,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,Bronze
Gillian Sanders,F,34.0,168.0,53.0,RSA,2016 Summer,Triathlon,Triathlon Women's Olympic Distance,2016,Summer,Rio de Janeiro,No Medal
"LaToya Antoinette ""Lara"" Sanders (Pringle-)",F,29.0,191.0,77.0,TUR,2016 Summer,Basketball,Basketball Women's Basketball,2016,Summer,Rio de Janeiro,No Medal
"Tyler James ""TJ"" Sanders",M,24.0,191.0,81.0,CAN,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Keith Sanderson,M,41.0,183.0,95.0,USA,2016 Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",2016,Summer,Rio de Janeiro,No Medal
Leevan Sands,M,34.0,191.0,82.0,BAH,2016 Summer,Athletics,Athletics Men's Triple Jump,2016,Summer,Rio de Janeiro,No Medal
Donald Eugene Sanford,M,29.0,196.0,81.0,ISR,2016 Summer,Athletics,Athletics Men's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Kiplangat Sang,M,35.0,175.0,90.0,KEN,2016 Summer,Judo,Judo Men's Middleweight,2016,Summer,Rio de Janeiro,No Medal
Stefan Bellore Sangala,F,21.0,165.0,58.0,CGO,2016 Summer,Swimming,Swimming Women's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Pavel Pavlovich Sankovich,M,26.0,182.0,77.0,BLR,2016 Summer,Swimming,Swimming Men's 100 metres Butterfly,2016,Summer,Rio de Janeiro,No Medal
Jamila Keizia Sanmoogan,F,19.0,143.0,58.0,GUY,2016 Summer,Swimming,Swimming Women's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Macarena Sans,F,19.0,165.0,64.0,ARG,2016 Summer,Handball,Handball Women's Handball,2016,Summer,Rio de Janeiro,No Medal
Anna Santamans,F,23.0,177.0,61.0,FRA,2016 Summer,Swimming,Swimming Women's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Daly Elis Santana Morales,F,21.0,185.0,65.0,PUR,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Graciete Feira de Santana,F,35.0,155.0,43.0,BRA,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
Matheus Paulo de Santana,M,20.0,189.0,90.0,BRA,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016,Summer,Rio de Janeiro,No Medal
Andrea Santarelli,M,23.0,184.0,76.0,ITA,2016 Summer,Fencing,"Fencing Men's epee, Team",2016,Summer,Rio de Janeiro,Silver
Ane Santesteban Gonzlez,F,25.0,160.0,48.0,ESP,2016 Summer,Cycling,"Cycling Women's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Edna Santini,F,24.0,153.0,54.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Yusneysi Santiusti Caballero,F,31.0,163.0,48.0,ITA,2016 Summer,Athletics,Athletics Women's 800 metres,2016,Summer,Rio de Janeiro,No Medal
Alexis Manaas da Silva Santos,M,24.0,185.0,70.0,POR,2016 Summer,Swimming,Swimming Men's 200 metres Individual Medley,2016,Summer,Rio de Janeiro,No Medal
Gabriel da Silva Santos,M,20.0,184.0,83.0,BRA,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016,Summer,Rio de Janeiro,No Medal
Juliana Esteves dos Santos,F,32.0,177.0,73.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Juliana Paula Gomes dos Santos (de Azevedo-),F,33.0,165.0,50.0,BRA,2016 Summer,Athletics,"Athletics Women's 3,000 metres Steeplechase",2016,Summer,Rio de Janeiro,No Medal
Leicy Maria Santos Herrera,F,20.0,154.0,56.0,COL,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,No Medal
Leonardo Santos,M,22.0,194.0,104.0,BRA,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Lugueln Miguel Santos Aquino,M,22.0,173.0,58.0,DOM,2016 Summer,Athletics,Athletics Men's 400 metres,2016,Summer,Rio de Janeiro,No Medal
Rosane dos Reis Santos,F,29.0,162.0,53.0,BRA,2016 Summer,Weightlifting,Weightlifting Women's Featherweight,2016,Summer,Rio de Janeiro,No Medal
Rosangela Cristina Oliveira Santos,F,25.0,166.0,64.0,BRA,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Telma Isabel da Silva Santos,F,33.0,163.0,55.0,POR,2016 Summer,Badminton,Badminton Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Michele Santucci,M,27.0,188.0,82.0,ITA,2016 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,2016,Summer,Rio de Janeiro,No Medal
Mateo Sanz Lanz,M,22.0,172.0,64.0,SUI,2016 Summer,Sailing,Sailing Men's Windsurfer,2016,Summer,Rio de Janeiro,No Medal
Jaime Rolando Saquipay Pai,M,37.0,165.0,61.0,ECU,2016 Summer,Athletics,Athletics Men's 50 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Flvia Lopes Saraiva,F,16.0,133.0,31.0,BRA,2016 Summer,Gymnastics,Gymnastics Women's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Nuno Francisco Puidival Saraiva,M,22.0,177.0,76.0,POR,2016 Summer,Judo,Judo Men's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Aleksejs Saramotins,M,34.0,185.0,75.0,LAT,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Jlia Albino Sard,F,33.0,174.0,64.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Caitlin Sargent-Jones,F,24.0,171.0,60.0,AUS,2016 Summer,Athletics,Athletics Women's 4 x 400 metres Relay,2016,Summer,Rio de Janeiro,No Medal
Danijel ari,M,39.0,195.0,92.0,QAT,2016 Summer,Handball,Handball Men's Handball,2016,Summer,Rio de Janeiro,No Medal
Dario ari,M,22.0,207.0,110.0,CRO,2016 Summer,Basketball,Basketball Men's Basketball,2016,Summer,Rio de Janeiro,No Medal
Albert Saritov,M,31.0,188.0,100.0,ROU,2016 Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",2016,Summer,Rio de Janeiro,Bronze
Matthew Sarmento,M,25.0,174.0,76.0,CAN,2016 Summer,Hockey,Hockey Men's Hockey,2016,Summer,Rio de Janeiro,No Medal
Maciej Sarnacki,M,29.0,200.0,130.0,POL,2016 Summer,Judo,Judo Men's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Rafa Sarnecki,M,26.0,175.0,81.0,POL,2016 Summer,Cycling,Cycling Men's Sprint,2016,Summer,Rio de Janeiro,No Medal
Laura Srosi,F,23.0,167.0,58.0,HUN,2016 Summer,Badminton,Badminton Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Patricia Sarrapio Martn,F,33.0,165.0,56.0,ESP,2016 Summer,Athletics,Athletics Women's Triple Jump,2016,Summer,Rio de Janeiro,No Medal
Guendalina Sartori,F,27.0,169.0,90.0,ITA,2016 Summer,Archery,Archery Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Satoru Sasaki,M,30.0,171.0,56.0,JPN,2016 Summer,Athletics,Athletics Men's Marathon,2016,Summer,Rio de Janeiro,No Medal
Srgio Yoshio Sasaki Jnior,M,24.0,161.0,64.0,BRA,2016 Summer,Gymnastics,Gymnastics Men's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Sho Sasaki,M,34.0,172.0,74.0,JPN,2016 Summer,Badminton,Badminton Men's Singles,2016,Summer,Rio de Janeiro,No Medal
Shota Sasaki,M,23.0,165.0,64.0,JPN,2016 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Tsubasa Sasaki,M,21.0,170.0,60.0,JPN,2016 Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2016,Summer,Rio de Janeiro,No Medal
"Mathlynn Langtor ""Mattie"" Sasser",F,19.0,158.0,58.0,MHL,2016 Summer,Weightlifting,Weightlifting Women's Lightweight,2016,Summer,Rio de Janeiro,No Medal
Or Sasson,M,25.0,193.0,120.0,ISR,2016 Summer,Judo,Judo Men's Heavyweight,2016,Summer,Rio de Janeiro,Bronze
Marianna Sastin,F,33.0,161.0,65.0,HUN,2016 Summer,Wrestling,"Wrestling Women's Middleweight, Freestyle",2016,Summer,Rio de Janeiro,No Medal
"William Spencer ""Will"" Satch",M,27.0,198.0,100.0,GBR,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,Gold
Ana Stila Vieira Vargas,F,20.0,163.0,58.0,BRA,2016 Summer,Canoeing,"Canoeing Women's Kayak Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Akiko Sato,F,32.0,162.0,58.0,JPN,2016 Summer,Shooting,"Shooting Women's Air Pistol, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Arisa Sato,F,27.0,164.0,52.0,JPN,2016 Summer,Volleyball,Volleyball Women's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Yuka Sato,F,24.0,171.0,56.0,JPN,2016 Summer,Triathlon,Triathlon Women's Olympic Distance,2016,Summer,Rio de Janeiro,No Medal
Olzhas Sattybayev,M,28.0,160.0,52.0,KAZ,2016 Summer,Boxing,Boxing Men's Flyweight,2016,Summer,Rio de Janeiro,No Medal
Bautista Saubidet Birkner,M,20.0,179.0,72.0,ARG,2016 Summer,Sailing,Sailing Men's Windsurfer,2016,Summer,Rio de Janeiro,No Medal
Rmi Saudadier,M,30.0,198.0,100.0,FRA,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Martin Sauer,M,33.0,169.0,55.0,GER,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,Silver
"Rebecca Elizabeth ""Becky"" Sauerbrunn",F,31.0,170.0,64.0,USA,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,No Medal
Graeme Saunders,M,26.0,176.0,64.0,CAN,2016 Summer,Sailing,Sailing Men's Two Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Jacob Saunders,M,24.0,178.0,75.0,CAN,2016 Summer,Sailing,Sailing Men's Two Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Jason Saunders,M,25.0,188.0,78.0,NZL,2016 Summer,Sailing,Sailing Mixed Multihull,2016,Summer,Rio de Janeiro,No Medal
Raven Saunders,F,20.0,165.0,109.0,USA,2016 Summer,Athletics,Athletics Women's Shot Put,2016,Summer,Rio de Janeiro,No Medal
Jiowana Sauto,F,18.0,,69.0,FIJ,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Valerian Sauveplane,M,36.0,180.0,77.0,FRA,2016 Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Vladimir Savanovi,M,31.0,180.0,70.0,SRB,2016 Summer,Athletics,Athletics Men's 50 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Katerine Savard,F,23.0,167.0,54.0,CAN,2016 Summer,Swimming,Swimming Women's 200 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Anastasiya Hennadivna Savchuk,F,20.0,177.0,62.0,UKR,2016 Summer,Synchronized Swimming,Synchronized Swimming Women's Team,2016,Summer,Rio de Janeiro,No Medal
Olha Mykolavna Savchuk,F,28.0,177.0,68.0,UKR,2016 Summer,Tennis,Tennis Women's Doubles,2016,Summer,Rio de Janeiro,No Medal
Tessie Savelkouls,F,24.0,182.0,95.0,NED,2016 Summer,Judo,Judo Women's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Marius avelskis,M,22.0,179.0,70.0,LTU,2016 Summer,Athletics,Athletics Men's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
Erislandy Savn Cotilla,M,26.0,192.0,91.0,CUB,2016 Summer,Boxing,Boxing Men's Heavyweight,2016,Summer,Rio de Janeiro,Bronze
Chlo Marie Hlne Savourel,F,16.0,166.0,68.0,CAF,2016 Summer,Swimming,Swimming Women's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Benjamin Savek,M,29.0,177.0,74.0,SLO,2016 Summer,Canoeing,"Canoeing Men's Canadian Singles, Slalom",2016,Summer,Rio de Janeiro,No Medal
Tindwende Thierry Sawadogo,M,21.0,199.0,93.0,BUR,2016 Summer,Swimming,Swimming Men's 50 metres Freestyle,2016,Summer,Rio de Janeiro,No Medal
Daichi Sawano,M,35.0,183.0,74.0,JPN,2016 Summer,Athletics,Athletics Men's Pole Vault,2016,Summer,Rio de Janeiro,No Medal
Louisa Jane Sawers-Gurski,F,28.0,176.0,70.0,GBR,2016 Summer,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",2016,Summer,Rio de Janeiro,No Medal
Suthasini Sawettabut,F,21.0,168.0,63.0,THA,2016 Summer,Table Tennis,Table Tennis Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Mateusz Jakub Sawrymowicz,M,29.0,185.0,75.0,POL,2016 Summer,Swimming,"Swimming Men's 1,500 metres Freestyle",2016,Summer,Rio de Janeiro,No Medal
Jazmin Jayne Sawyers,F,22.0,160.0,61.0,GBR,2016 Summer,Athletics,Athletics Women's Long Jump,2016,Summer,Rio de Janeiro,No Medal
Roberto Sawyers Furtado,M,29.0,182.0,111.0,CRC,2016 Summer,Athletics,Athletics Men's Hammer Throw,2016,Summer,Rio de Janeiro,No Medal
"Benjamin ""Ben"" Saxton",M,27.0,201.0,94.0,CAN,2016 Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
Benjamin Jonathon H. Saxton,M,26.0,175.0,73.0,GBR,2016 Summer,Sailing,Sailing Mixed Multihull,2016,Summer,Rio de Janeiro,No Medal
Kayra Sayt,F,28.0,165.0,90.0,TUR,2016 Summer,Judo,Judo Women's Heavyweight,2016,Summer,Rio de Janeiro,No Medal
Irina Sazonova,F,24.0,160.0,55.0,ISL,2016 Summer,Gymnastics,Gymnastics Women's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Hassanine Al-Sbai,M,32.0,176.0,60.0,TUN,2016 Summer,Athletics,Athletics Men's 20 kilometres Walk,2016,Summer,Rio de Janeiro,No Medal
"Mohamed Karim ""Moe"" Sbihi",M,28.0,202.0,110.0,GBR,2016 Summer,Rowing,Rowing Men's Coxless Fours,2016,Summer,Rio de Janeiro,Gold
Laetisha Scanlan,F,26.0,163.0,51.0,AUS,2016 Summer,Shooting,Shooting Women's Trap,2016,Summer,Rio de Janeiro,No Medal
Mirco Scarantino,M,21.0,166.0,56.0,ITA,2016 Summer,Weightlifting,Weightlifting Men's Bantamweight,2016,Summer,Rio de Janeiro,No Medal
Emily Beth Scarratt,F,26.0,181.0,79.0,GBR,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Michele Scartezzini,M,24.0,183.0,63.0,ITA,2016 Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",2016,Summer,Rio de Janeiro,No Medal
Haline Leme Scatrut,F,23.0,169.0,64.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Fernando Augusto Dias Scavasin,M,31.0,184.0,80.0,BRA,2016 Summer,Fencing,"Fencing Men's Foil, Team",2016,Summer,Rio de Janeiro,No Medal
Milo epanovi,M,33.0,185.0,86.0,MNE,2016 Summer,Water Polo,Water Polo Men's Water Polo,2016,Summer,Rio de Janeiro,No Medal
Denisa erbova-Rosolov,F,29.0,175.0,63.0,CZE,2016 Summer,Athletics,Athletics Women's 400 metres Hurdles,2016,Summer,Rio de Janeiro,No Medal
"Samuel ""Sam"" Schachter",M,26.0,195.0,80.0,CAN,2016 Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
Martin Michael Schaefer,M,26.0,183.0,82.0,BRA,2016 Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,2016,Summer,Rio de Janeiro,No Medal
Carolin Schfer,F,24.0,178.0,65.0,GER,2016 Summer,Athletics,Athletics Women's Heptathlon,2016,Summer,Rio de Janeiro,No Medal
Lucas Schfer,M,21.0,187.0,70.0,GER,2016 Summer,Rowing,Rowing Men's Lightweight Coxless Fours,2016,Summer,Rio de Janeiro,No Medal
Pauline Sieglinde Schfer,F,19.0,162.0,55.0,GER,2016 Summer,Gymnastics,Gymnastics Women's Team All-Around,2016,Summer,Rio de Janeiro,No Medal
Chaim Schalk,M,30.0,195.0,88.0,CAN,2016 Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2016,Summer,Rio de Janeiro,No Medal
Sophie Celina Scheder,F,19.0,167.0,56.0,GER,2016 Summer,Gymnastics,Gymnastics Women's Individual All-Around,2016,Summer,Rio de Janeiro,No Medal
Robert Scheidt,M,43.0,188.0,76.0,BRA,2016 Summer,Sailing,Sailing Men's One Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Ruben Scheire,M,24.0,175.0,62.0,BEL,2016 Summer,Cycling,"Cycling Men's Mountainbike, Cross-Country",2016,Summer,Rio de Janeiro,No Medal
"Charlotta Eva ""Lotta"" Schelin",F,32.0,179.0,64.0,SWE,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,Silver
Jeanelle Scheper,F,21.0,177.0,60.0,LCA,2016 Summer,Athletics,Athletics Women's High Jump,2016,Summer,Rio de Janeiro,No Medal
Tobias Scherbarth,M,30.0,195.0,87.0,GER,2016 Summer,Athletics,Athletics Men's Pole Vault,2016,Summer,Rio de Janeiro,No Medal
Sarah Scherer,F,25.0,173.0,62.0,USA,2016 Summer,Shooting,"Shooting Women's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Anja Scherl,F,30.0,160.0,48.0,GER,2016 Summer,Athletics,Athletics Women's Marathon,2016,Summer,Rio de Janeiro,No Medal
Andreas Schilling Andersen,M,25.0,185.0,70.0,DEN,2016 Summer,Triathlon,Triathlon Men's Olympic Distance,2016,Summer,Rio de Janeiro,No Medal
Dafne Schippers,F,24.0,179.0,70.0,NED,2016 Summer,Athletics,Athletics Women's 100 metres,2016,Summer,Rio de Janeiro,No Medal
Thry Schir,M,23.0,186.0,77.0,SUI,2016 Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",2016,Summer,Rio de Janeiro,No Medal
Arianna Schivo,F,29.0,158.0,47.0,ITA,2016 Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",2016,Summer,Rio de Janeiro,No Medal
Frnk Ren Schleck,M,36.0,185.0,63.0,LUX,2016 Summer,Cycling,"Cycling Men's Road Race, Individual",2016,Summer,Rio de Janeiro,No Medal
Alice Schlesinger,F,28.0,165.0,65.0,GBR,2016 Summer,Judo,Judo Women's Half-Middleweight,2016,Summer,Rio de Janeiro,No Medal
Annika Schleu,F,26.0,175.0,63.0,GER,2016 Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Fabienne Schlumpf,F,25.0,183.0,62.0,SUI,2016 Summer,Athletics,"Athletics Women's 3,000 metres Steeplechase",2016,Summer,Rio de Janeiro,No Medal
Lauren Schmetterling,F,28.0,180.0,77.0,USA,2016 Summer,Rowing,Rowing Women's Coxed Eights,2016,Summer,Rio de Janeiro,Gold
Matthias Schmid,M,35.0,175.0,66.0,AUT,2016 Summer,Sailing,Sailing Men's Two Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Michael Schmid,M,28.0,179.0,73.0,SUI,2016 Summer,Rowing,Rowing Men's Lightweight Double Sculls,2016,Summer,Rio de Janeiro,No Medal
Lisa Schmidla,F,25.0,173.0,76.0,GER,2016 Summer,Rowing,Rowing Women's Quadruple Sculls,2016,Summer,Rio de Janeiro,Gold
Bruno Oscar Schmidt,M,29.0,185.0,87.0,BRA,2016 Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2016,Summer,Rio de Janeiro,Gold
Dylan Matthew Schmidt,M,19.0,169.0,69.0,NZL,2016 Summer,Trampolining,Trampolining Men's Individual,2016,Summer,Rio de Janeiro,No Medal
Paloma Schmidt Gutirrez,F,29.0,165.0,65.0,PER,2016 Summer,Sailing,Sailing Women's One Person Dinghy,2016,Summer,Rio de Janeiro,No Medal
Richard Schmidt,M,29.0,191.0,87.0,GER,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,Silver
Sophie Diana Schmidt,F,28.0,172.0,71.0,CAN,2016 Summer,Football,Football Women's Football,2016,Summer,Rio de Janeiro,Bronze
Paulina Schmiedel,F,23.0,175.0,61.0,GER,2016 Summer,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,2016,Summer,Rio de Janeiro,No Medal
Anna Karolna Schmiedlov,F,21.0,176.0,63.0,SVK,2016 Summer,Tennis,Tennis Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Alexander Schmirl,M,26.0,176.0,95.0,AUT,2016 Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",2016,Summer,Rio de Janeiro,No Medal
Roberto Schmits,M,47.0,187.0,90.0,BRA,2016 Summer,Shooting,Shooting Men's Trap,2016,Summer,Rio de Janeiro,No Medal
Allison Rodgers Schmitt,F,26.0,185.0,75.0,USA,2016 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,2016,Summer,Rio de Janeiro,Silver
Gavin Charles Schmitt,M,30.0,208.0,106.0,CAN,2016 Summer,Volleyball,Volleyball Men's Volleyball,2016,Summer,Rio de Janeiro,No Medal
Karin Schnaase,F,31.0,164.0,56.0,GER,2016 Summer,Badminton,Badminton Women's Singles,2016,Summer,Rio de Janeiro,No Medal
Dorothee Schneider (-Krumhoff),F,47.0,169.0,63.0,GER,2016 Summer,Equestrianism,"Equestrianism Mixed Dressage, Individual",2016,Summer,Rio de Janeiro,No Medal
Sebastien Schneiter,M,20.0,176.0,72.0,SUI,2016 Summer,Sailing,Sailing Men's Skiff,2016,Summer,Rio de Janeiro,No Medal
Zbigniew Schodowski,M,29.0,201.0,94.0,POL,2016 Summer,Rowing,Rowing Men's Coxed Eights,2016,Summer,Rio de Janeiro,No Medal
Henri Schoeman,M,24.0,170.0,59.0,RSA,2016 Summer,Triathlon,Triathlon Men's Olympic Distance,2016,Summer,Rio de Janeiro,Bronze
"Jonathan Michael ""Jon"" Schofield",M,31.0,182.0,80.0,GBR,2016 Summer,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2016,Summer,Rio de Janeiro,Silver
Nils Schomber,M,22.0,183.0,72.0,GER,2016 Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",2016,Summer,Rio de Janeiro,No Medal
Carl Fredrik Stefan Schn,M,29.0,187.0,102.0,SWE,2016 Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2016,Summer,Rio de Janeiro,No Medal
Lena Schneborn,F,30.0,179.0,60.0,GER,2016 Summer,Modern Pentathlon,Modern Pentathlon Women's Individual,2016,Summer,Rio de Janeiro,No Medal
Lauritz Schoof,M,25.0,195.0,98.0,GER,2016 Summer,Rowing,Rowing Men's Quadruple Sculls,2016,Summer,Rio de Janeiro,Gold
